LR,KNN,RF,XGB,LGBM_Bal,LGBM_Unbal,Best_Model,Best_CV_F1
0.3893805309734513,0.43037974683544306,0.5168539325842697,0.5,0.4528301886792453,0.44660194174757284,RF,0.5168539325842697
0.5773195876288659,0.4,0.6233766233766234,0.6666666666666666,0.6666666666666666,0.6521739130434783,XGB,0.6666666666666666
0.4503311258278146,0.13095238095238096,0.34375,0.4890829694323144,0.5833333333333334,0.573134328358209,LGBM_Bal,0.5833333333333334
0.3404255319148936,0.1791044776119403,0.273972602739726,0.3170731707317073,0.37037037037037035,0.40816326530612246,LGBM_Unbal,0.40816326530612246
0.33707865168539325,0.22702702702702704,0.32124352331606215,0.4200913242009132,0.425531914893617,0.42168674698795183,LGBM_Bal,0.425531914893617
0.4,0.1951219512195122,0.391304347826087,0.46601941747572817,0.4755244755244755,0.460431654676259,LGBM_Bal,0.4755244755244755
0.22641509433962265,0.10256410256410256,0.10256410256410256,0.24489795918367346,0.36065573770491804,0.3548387096774194,LGBM_Bal,0.36065573770491804
0.38164251207729466,0.07106598984771574,0.27149321266968324,0.49110320284697506,0.5206812652068127,0.5153664302600472,LGBM_Bal,0.5206812652068127
0.21686746987951808,0.16393442622950818,0.14035087719298245,0.18181818181818182,0.2553191489361702,0.22988505747126436,LGBM_Bal,0.2553191489361702
0.23357664233576642,0.20930232558139536,0.17073170731707318,0.32653061224489793,0.4028776978417266,0.3546099290780142,LGBM_Bal,0.4028776978417266
0.5454545454545454,0.15609756097560976,0.4777327935222672,0.6417445482866043,0.649746192893401,0.6701030927835051,LGBM_Unbal,0.6701030927835051
0.3048780487804878,0.06741573033707865,0.20408163265306123,0.31932773109243695,0.4114285714285714,0.4581005586592179,LGBM_Unbal,0.4581005586592179
